subspace,k,layer,observed_condition,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,rho_adjusted_median,rho_adjusted_z_mean,trace_fim_structured_mean
delta_pca,2,3,error,137,0.21469337428868568,0.18014536864432007,0.0345480056443656,-0.01796391305547182,0.19550009419774184,0.07164026492591871
delta_pca,2,4,correct,183,0.20913596109452873,0.1585008071773051,0.05063515391722364,0.04253995809706085,0.5271217746869274,0.034320897521025844
delta_pca,2,4,error,137,0.1921731843852074,0.18129371390583238,0.010879470479375002,-0.010392430322691187,0.08867743223222191,0.03200817037303989
delta_pca,2,5,correct,183,0.39056211963880694,0.2899451412906763,0.1006169783481307,0.09278908550143478,0.6848708704083826,0.024831591134073926
delta_pca,2,5,error,137,0.20686602408406607,0.19195959838466392,0.014906425699402162,-0.009617377275962527,0.11094414982683053,0.031184932002031256
delta_pca,4,0,correct,183,0.18674952129317787,0.21586135722360114,-0.029111835930423244,-0.013726317072277228,-0.28841694744824986,0.4646672859278539
delta_pca,4,0,error,137,0.2113710287170449,0.21522330137037002,-0.0038522726533251153,-0.013726317072277228,-0.06522328472984057,0.4512544300790259
delta_pca,4,1,correct,183,0.32073641587447166,0.29921787932351124,0.021518536550960424,-0.010050381397748331,0.019684829650979306,0.2507218484495312
delta_pca,4,1,error,137,0.24783463659876495,0.24955782454067954,-0.0017231879419145686,-0.05080022456445524,-0.08991186896199943,0.2270913876961507
delta_pca,4,2,correct,183,0.272783494599754,0.36707776950689536,-0.0942942749071414,-0.10954397696841564,-0.6832745998175374,0.1294547727913332
delta_pca,4,2,error,137,0.24431096790853837,0.3040365492924569,-0.059725581383918494,-0.06322467317193498,-0.439146317876651,0.12310965016702335
delta_pca,4,3,correct,183,0.44904386295652476,0.3075890375870537,0.1414548253694711,0.18623799420208847,0.9873051774263027,0.19342289267952753
delta_pca,4,3,error,137,0.3570095565979697,0.3210248229441809,0.03598473365378879,0.027147386859374678,0.18725972826489862,0.14411257332790742
delta_pca,4,4,correct,183,0.30106888231874995,0.27308045360175925,0.027988428716990744,0.010132622147364545,0.37484926904642546,0.06686048242419285
delta_pca,4,4,error,137,0.30660050565541147,0.3041875983991547,0.002412907256256757,0.00972850791458113,0.02799314974212034,0.06465307422621647
delta_pca,4,5,correct,183,0.5550923570094699,0.4480547432084458,0.1070376138010241,0.13556153887621625,0.6635096676262637,0.04808124882981721
delta_pca,4,5,error,137,0.34470562119509623,0.3233887263428506,0.021316894852245617,0.028711870411910423,0.1535755401612187,0.063518908824845
delta_pca,8,0,correct,183,0.2665438834653595,0.3896362190824341,-0.12309233561707461,-0.1656438461620719,-1.1156323967978217,0.9148181518924207
delta_pca,8,0,error,137,0.29542225562212276,0.39804440032361105,-0.10262214470148827,-0.1656438461620719,-0.9699569304659659,0.8875674106417843
delta_pca,8,1,correct,183,0.487925033486134,0.4774243722709158,0.010500661215218138,0.04308523728324065,0.09545133324234704,0.5218179178973346
delta_pca,8,1,error,137,0.40885811755644125,0.4202286511182471,-0.011370533561805838,-0.019141760978182376,-0.07876545001348394,0.4626116969496262
delta_pca,8,2,correct,183,0.44575744772787723,0.5273241424783116,-0.08156669475043436,-0.11015960123005236,-0.6967297397686262,0.2765033053410221
delta_pca,8,2,error,137,0.4480824243448863,0.4786829857005064,-0.03060056135562007,-0.034795605972332,-0.28248109593214615,0.2620998291229848
delta_pca,8,3,correct,183,0.6366680049440626,0.5220638950636339,0.11460410988042881,0.11967565683110964,0.9983789204660023,0.30341792540045215
delta_pca,8,3,error,137,0.5395595104669965,0.5107853851674012,0.028774125299595197,0.03734362661762358,0.24546914314975846,0.2508606520585401
delta_pca,8,4,correct,183,0.4592037790899858,0.4513507852100249,0.007852993879960865,0.009385154681864682,0.06333737972100101,0.14598630200233537
delta_pca,8,4,error,137,0.4907431058331545,0.49437243811941195,-0.003629332286257364,0.006966156224591624,-0.048590119892007975,0.13639169657627626
delta_pca,8,5,correct,183,0.7114840431888121,0.6674449832476624,0.044039059941149546,0.047728402327696595,0.429602445756115,0.09310288524763789
delta_pca,8,5,error,137,0.5344889673006163,0.5213695934006123,0.013119373900004103,0.012576633053207331,0.1282341907579899,0.13016382170957977
delta_pca,16,0,correct,183,0.6543994361714064,0.6818416940949354,-0.02744225792352904,-0.09117282490406808,-0.2665739648204885,1.7084936230397707
delta_pca,16,0,error,137,0.6522600855716044,0.683053494395986,-0.03079340882438155,-0.09117282490406808,-0.2811789367642718,1.6507242900769914
delta_pca,16,1,correct,183,0.7599454944947339,0.7088718191257776,0.05107367536895643,0.05267594569944145,0.6485655083455302,0.9950888504286659
delta_pca,16,1,error,137,0.7065635075454967,0.67642435605394,0.03013915149155669,0.043354586367974735,0.3219029965303596,0.8879307596487328
