split,budget,contrast,metric,policy,control,delta_policy_minus_control,p_value,bh_fdr_q_value
grouped_example_5fold,0.1,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.8389207024480431,0.8605532241135718,-0.02163252166552876,0.04279144171165767,0.05990801839632074
grouped_example_5fold,0.1,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.922418319487304,0.9358119792458004,-0.013393659758496379,0.27214557088582286,0.3010400389057991
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,safe_movement_rate,0.1610792975519568,0.10897346114641746,0.05210583640553934,0.4287142571485703,0.4628047884399024
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,movement_per_drift,17.092822010824072,23.835105996179376,-6.742283985355304,0.011797640471905619,0.019149793229759845
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,regret_vs_oracle,0.8389207024480431,0.8910265388535825,-0.05210583640553945,0.4373125374925015,0.47095196345346313
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,topk_preservation,0.922418319487304,0.9581683423360176,-0.035750022848713536,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.1,rho_only_vs_random,safe_movement_rate,0.1610792975519568,0.09414345266474214,0.06693584488721466,0.07658468306338732,0.0991616705560622
grouped_example_5fold,0.1,rho_only_vs_random,movement_per_drift,17.092822010824072,20.170283111072393,-3.077461100248321,0.04539092181563687,0.06295706802911863
grouped_example_5fold,0.1,rho_only_vs_random,regret_vs_oracle,0.8389207024480431,0.9058565473352578,-0.06693584488721471,0.07298540291941612,0.09532787320087002
grouped_example_5fold,0.1,rho_only_vs_random,topk_preservation,0.922418319487304,0.9506290061653688,-0.02821068667806481,0.0003999200159968006,0.0009003224480731995
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,safe_movement_rate,0.1610792975519568,0.042360641766517,0.1187186557854398,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,movement_per_drift,17.092822010824072,15.151546480126507,1.941275530697565,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,regret_vs_oracle,0.8389207024480431,0.957639358233483,-0.11871865578543994,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,topk_preservation,0.922418319487304,0.9621050738115322,-0.03968675432422819,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.1610792975519568,0.12728613749628162,0.033793160055675175,0.003799240151969606,0.006863143500332191
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,movement_per_drift,17.092822010824072,27.858410316265747,-10.765588305441675,0.0619876024795041,0.08240488400836153
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.8389207024480431,0.8727138625037183,-0.03379316005567523,0.0021995600879824036,0.0042111235872483626
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.922418319487304,0.9798462994689203,-0.057427979981616306,0.05138972205558888,0.06976544085122369
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.18612580834803055,0.1719309497087275,0.01419485863930306,0.005598880223955209,0.009836464079733074
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,18.782559018519827,17.683618656168257,1.0989403623515699,0.013197360527894421,0.021267688908261514
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.4151728929506707,0.42936775158997376,-0.014194858639303032,0.0061987602479504095,0.01080562097697192
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8954214098658543,0.8899481588370477,0.0054732510288065805,0.041791641671665665,0.05906200463377356
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.16455026455026456,0.1369461813906258,0.027604083159638748,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,17.329840442933154,14.766112638318921,2.563727804614233,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.4367484367484368,0.46435251990807547,-0.027604083159638693,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9202960825183049,0.9059451659451658,0.014350916573139028,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.16204906204906205,0.12801560579338359,0.03403345625567847,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,movement_per_drift,18.668154530767627,18.152293311801987,0.5158612189656395,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.4392496392496392,0.47328309550531766,-0.03403345625567844,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9322740633851744,0.9415082037304259,-0.009234140345251496,0.1357728454309138,0.1639521152373299
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,safe_movement_rate,0.16204906204906205,0.12550905884239216,0.03654000320666989,0.03179364127174565,0.04685378713730938
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,movement_per_drift,18.668154530767627,21.04980940003289,-2.3816548692652617,0.5070985802839432,0.5370689455489517
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,regret_vs_oracle,0.4392496392496392,0.4757896424563091,-0.03654000320666989,0.03759248150369926,0.05363513284604226
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,topk_preservation,0.9322740633851744,0.9550756239645128,-0.022801560579338465,0.009198160367926415,0.01566834921988986
grouped_example_5fold,0.2,rho_only_vs_random,safe_movement_rate,0.16204906204906205,0.11348939126716903,0.04855967078189302,0.00599880023995201,0.010497900419916018
grouped_example_5fold,0.2,rho_only_vs_random,movement_per_drift,18.668154530767627,19.32065477635842,-0.6525002455907938,0.11277744451109778,0.1391853860632832
grouped_example_5fold,0.2,rho_only_vs_random,regret_vs_oracle,0.4392496392496392,0.4878093100315323,-0.04855967078189305,0.0065986802639472104,0.011458173481582753
grouped_example_5fold,0.2,rho_only_vs_random,topk_preservation,0.9322740633851744,0.9530361819250708,-0.0207621185398964,0.018196360727854428,0.02840407528250447
