split,fold,budget,policy,test_n,selected_n,safe_movement_rate,safe_varentropy_movement_rate,mean_abs_delta_entropy,mean_abs_delta_varentropy,mean_output_drift,movement_per_drift,top1_preserved_rate,topk_preservation,failure_rate,regret_vs_oracle,minimal_energy_to_target
grouped_example_5fold,fold_0,0.05,controls_only_learned,1485,75.0,0.08,0.14666666666666667,0.04624979152345228,0.056363550993305,0.0018477781771148213,25.029947910559347,1.0,0.9266666666666666,0.92,0.92,0.010645000000000002
grouped_example_5fold,fold_0,0.05,controls_plus_rho_learned,1485,75.0,0.10666666666666667,0.08,0.042294083494424095,0.03311130455482729,0.0015769477134018142,26.82021929768787,1.0,0.9066666666666666,0.8933333333333333,0.8933333333333333,0.010645000000000002
grouped_example_5fold,fold_0,0.05,gradient_only_learned,1485,75.0,0.2,0.16,0.05035857937136895,0.04637236794634842,0.0014589884953537695,34.51609079286003,1.0,1.0,0.8,0.8,0.010645000000000002
grouped_example_5fold,fold_0,0.05,gradient_plus_rho_learned,1485,75.0,0.18666666666666668,0.16,0.05045878323412712,0.042981335335188504,0.0016141784213284263,31.259730998386704,1.0,0.92,0.8133333333333334,0.8133333333333334,0.010645000000000002
grouped_example_5fold,fold_0,0.05,oracle,1485,75.0,1.0,0.68,0.020736442572812517,0.020167760298626096,8.871451536495546e-05,233.74351409694958,1.0,1.0,0.0,0.0,0.0007250000000000002
grouped_example_5fold,fold_0,0.1,random,1485,149.0,0.10738255033557047,0.11409395973154363,0.03363366891821802,0.04403578703451195,0.0013929350810862706,24.14589838026697,0.9463087248322147,0.9429530201342282,0.8926174496644296,0.8926174496644296,0.010546644295302015
grouped_example_5fold,fold_0,0.1,highest_entropy,1485,149.0,0.013422818791946308,0.09395973154362416,0.0158179480849933,0.028001736892798914,0.0013387860336995206,11.815142738890795,0.7785234899328859,0.9463087248322147,0.9865771812080537,0.9865771812080537,0.010715771812080539
grouped_example_5fold,fold_0,0.1,highest_varentropy,1485,149.0,0.2214765100671141,0.14093959731543623,0.059152855756138656,0.04482918745903942,0.0013986072093387734,42.294116147238114,1.0,0.9395973154362416,0.7785234899328859,0.7785234899328859,0.010715771812080539
grouped_example_5fold,fold_0,0.1,lowest_confidence,1485,149.0,0.0,0.06040268456375839,0.01601334138389008,0.02554763703664371,0.001337835313063431,11.969590896223291,0.7315436241610739,0.9463087248322147,1.0,1.0,0.010715771812080539
grouped_example_5fold,fold_0,0.1,highest_gradient_norm,1485,149.0,0.18791946308724833,0.1610738255033557,0.06231286436187784,0.0554383142601406,0.0023383861082691615,26.647808136356446,1.0,0.9932885906040269,0.8120805369127517,0.8120805369127517,0.010715771812080539
grouped_example_5fold,fold_0,0.1,highest_fisher_output_energy,1485,149.0,0.14093959731543623,0.2348993288590604,0.042655445707741824,0.05891143679440409,0.001358321109893265,31.403064707647538,0.9932885906040269,0.9463087248322147,0.8590604026845637,0.8590604026845637,0.010715771812080539
grouped_example_5fold,fold_0,0.1,highest_jacobian_norm,1485,149.0,0.053691275167785234,0.0738255033557047,0.02836406160765958,0.03757390068544352,0.001566825989758762,18.102879192109064,0.959731543624161,0.9228187919463087,0.9463087248322147,0.9463087248322147,0.010715771812080539
grouped_example_5fold,fold_0,0.1,rho_only,1485,149.0,0.15436241610738255,0.16778523489932887,0.04615133599923571,0.05398200216791239,0.0017924600699365117,25.74748345767634,1.0,0.9395973154362416,0.8456375838926175,0.8456375838926175,0.010715771812080539
grouped_example_5fold,fold_0,0.1,shuffled_rho,1485,149.0,0.09395973154362416,0.09395973154362416,0.038675875634656104,0.04243472338279087,0.0015306571934365827,25.267496733100806,0.9395973154362416,0.9630872483221476,0.9060402684563759,0.9060402684563759,0.011059060402684567
grouped_example_5fold,fold_0,0.1,within_example_shuffled_rho,1485,149.0,0.12751677852348994,0.12751677852348994,0.034184702401408626,0.04073440674810982,0.0014552576624845834,23.490480952386513,0.9798657718120806,0.9463087248322147,0.87248322147651,0.87248322147651,0.01044798657718121
grouped_example_5fold,fold_0,0.1,rho_shuffled_within_entropy_bin,1485,149.0,0.10067114093959731,0.14093959731543623,0.05101790900533957,0.05423154172441708,0.0018133046373473862,28.135321530954506,1.0,0.9261744966442953,0.8993288590604027,0.8993288590604027,0.011328859060402686
