model,prompt_id,task,topic,layer,subspace_family,subspace_k,top_k_output,direction,sign,epsilon,rho,abs_delta_entropy,abs_delta_varentropy,directional_success,selected_top1_changed,top5_jaccard,full_vocab_top5_jaccard,full_vocab_top10_jaccard,selected_kl_before_after,candidate_set_kl,candidate_mass_retention_ratio,cluster_distribution_l1,embedding_centroid_delta_norm
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,256,grad_orthogonal_control,increase,0.05,0.1181207695310509,0.0007951218715378,0.0053072804433735,0,0,1.0,1.0,0.8181818181818182,0.0012522120827023,0.0012522121325121,1.0146397116225254,0.0198637309011961,0.0086333444970854
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,256,grad_orthogonal_control,decrease,0.05,0.1181207695310509,0.0008101630297465,0.0046360566884575,1,0,1.0,1.0,0.8181818181818182,0.0012471587426732,0.0012471588269265,0.984974657716892,0.0202143367848178,0.0087320175437124
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,256,random_control,increase,0.05,0.1181207695310509,0.006831585522204,0.034924507086183,1,0,1.0,1.0,1.0,0.0012243656849947,0.0012243657725499,1.0103138906309828,0.0079656947608753,0.007211380774375
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,256,random_control,decrease,0.05,0.1181207695310509,0.0097419737251245,0.0423106322275305,1,0,1.0,1.0,0.8181818181818182,0.0012750483602644,0.0012750486673991,0.9890572947654056,0.0079789541242335,0.0074106602790472
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,256,accessible_ls,increase,0.05,0.0952115084153407,0.0122977505190133,0.0471603425269839,1,0,1.0,1.0,0.8181818181818182,0.001253557193863,0.0012535572369191,0.9864667214750352,0.0033125682825493,0.0066301832089515
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,256,accessible_ls,decrease,0.05,0.0952115084153407,0.0147844546842188,0.0526781317394596,1,0,1.0,1.0,0.8181818181818182,0.001245452793898,0.0012454529088557,1.0126299090543702,0.003551177736479,0.0066778855434195
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,256,grad_orthogonal_control,increase,0.05,0.0952115084153407,0.000809593215937,0.0007632359604157,0,0,1.0,1.0,1.0,0.0012437242377962,0.0012437243176487,1.0056598248801971,0.0006276081000563,0.0052097650408233
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,256,grad_orthogonal_control,decrease,0.05,0.0952115084153407,0.0008140620003738,0.0004611493456737,1,0,1.0,1.0,0.8181818181818182,0.0012552533255615,0.0012552531134306,0.9926409049280518,0.000991851760339,0.0051987462020757
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,256,random_control,increase,0.05,0.0952115084153407,0.005031620409631,0.0203469649030121,1,0,1.0,1.0,0.6666666666666666,0.0012637401579507,0.0012637399000832,0.994516535813658,0.0027830810923112,0.0054657466550396
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,256,random_control,decrease,0.05,0.0952115084153407,0.0072420730360898,0.0235978733402925,1,0,1.0,1.0,1.0,0.0012359440050049,0.0012359440174679,1.0049515070270614,0.0027174688060385,0.0052383118553716
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,256,accessible_ls,increase,0.05,0.071147314801332,0.0103381245900733,0.0400844821285892,1,0,1.0,1.0,1.0,0.0012513352791436,0.0012513350126816,0.996896123317946,0.0067378668615167,0.0067225705692466
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,256,accessible_ls,decrease,0.05,0.071147314801332,0.0130876276451461,0.0465488347083518,1,0,1.0,1.0,0.8181818181818182,0.0012476695202398,0.0012476697059817,1.002790672661667,0.0068923100820516,0.0068774783214001
